;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
18;19;#Nigeria Op: #Cameroon Sit Aug 2019: 42610 Cameroonian @refugees reg in Nigeria. 21,808 Cameroonian refugees reg in Adagom, Okende settle’t in Cross River State & in Anyake settlement in Benue State. 51% live in host communities @StateDept https://t.co/5wxseDYSPN via @reliefweb;irrelevant;neutral;low;unrelated;http://twitter.com/3adeeemQ8/statuses/1181120942350753793
19;20;#UNforKashmirFreedom #KashmirUnderThreat @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI @SMQureshiPTI #KashmirPlebiscite #370AbrogationNotAcceptable #KashmirFightsTillFreedom #KashmirStillUnderCurfew #IndiaFailed https://t.co/bKAkA6565a;irrelevant;neutral;low;unrelated;http://twitter.com/Mehrnoo06507092/statuses/1100874931326369792
20;21;#UNforKashmirFreedom #KashmirUnderThreat @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI @SMQureshiPTI #KashmirProtests #KashmirHour #KashmirWantsFreedom #EndKashmirBlockade #KashmirAtDecisionPoint https://t.co/mSRXUu0kB1;irrelevant;neutral;low;unrelated;http://twitter.com/Mehrnoo06507092/statuses/1100874750447026177
21;22;#UNforKashmirFreedom #KashmirUnderThreat @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI @SMQureshiPTI #KashmirWantsFreedom #EndKashmirBlockade #KashmirAtDecisionPoint #StandForKashmir #KashmirBleedsUNSleeps https://t.co/lkIT26dofP;irrelevant;neutral;low;unrelated;http://twitter.com/Goatys_News/statuses/1172933039011352577
22;30;#UNforKashmirFreedom #KashmirUnderThreat @OxfordUnion @Refugees @MuradSaeedPTI @SMQureshiPTI @TehminaJanjua #IndiaFailed #KashmirProtests #KashmirHour #KashmirWantsFreedom #EndKashmirBlockade https://t.co/5z9BdONGtc;irrelevant;neutral;low;unrelated;http://twitter.com/aijazah/statuses/1172851137361244161
23;31;#UNforKashmirFreedom #KashmirUnderThreat @Refugees @MuradSaeedPTI @SMQureshiPTI @TehminaJanjua @reveal #KashmirHour #KashmirWantsFreedom #EndKashmirBlockade #KashmirAtDecisionPoint #StandForKashmir https://t.co/aJs4o7Bdbm;irrelevant;neutral;low;unrelated;http://twitter.com/wallaby03723051/statuses/1173066169575776262
24;32;#UNforKashmirFreedom #KashmirUnderThreat @SenWarren @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI #KashmirBleedsUNSleeps #FreeKashmir #KashmirPlebiscite #370AbrogationNotAcceptable #KashmirFightsTillFreedom https://t.co/Hx0u4zXBJq;irrelevant;neutral;low;unrelated;http://twitter.com/kashmirintefeda/statuses/1172905644476850176
25;33;@_AfricanUnion @AU_PSD @Refugees @UN_CAR #BIAFRA NEWSHOUR: #NnamdiKanu LED DELEGATION TO EU PARLIAMENT (MUST WATCH) https://t.co/NocDcm7bpm;irrelevant;neutral;low;unrelated;http://twitter.com/GaryRed98242095/statuses/1172938625362911232
26;34;@62WalterP @kneadinghands @ChuckKeller14 @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @tango793_anne @KITTYBAYOUTSFAN @Ldogls ;irrelevant;neutral;low;unrelated;http://twitter.com/manabiloo/statuses/1172849214486929408
27;35;"@AbagisKen @Refugees @UN Hey! Define evil Junior.
";irrelevant;neutral;low;unrelated;http://twitter.com/Aabaan4/statuses/1172867256021397504
28;36;"@AbhivyaktiGroup @CIDCO_Ltd @Dev_Fadnavis @iPrashantThakur @teriin @narendramodi @fayedsouza @mymalishka @rjmalishkaa @NaviMumbaiWetl1 @ConserveAarey @Laxmantweetsss @yashmarwah Sea levels are rising both on the East Coast and West Coast of India. @UNFCCC @NatGeo @fayedsouza @down2earthindia @KHayhoe @fridays_india @ExtinctionR @UNinIndia @ravishndtv @ReallySwara @saveourcoastMUM @ErikSolheim @Refugees https://t.co/vrCE1gUzGC
";irrelevant;neutral;medium;unrelated;http://twitter.com/KashurJungjoo/statuses/1172886358622232576
29;37;"@ADawit @ElsaChyrum @estimariam1 @cecafafootball @ohchr @ACHPR @UN_HRC @Refugees Absolutely right 👍🏿
";irrelevant;neutral;medium;unrelated;http://twitter.com/AKozgar/statuses/1172845906661531648
30;38;"@ADawit @Kib74794589 @estimariam1 @ElsaChyrum @cecafafootball @ohchr @ACHPR @UN_HRC @Refugees If the war started in Badme. How did Eritrea invade Ethiopia?
";irrelevant;neutral;low;unrelated;http://twitter.com/OzKoshur/statuses/1172991257934610432
31;39;@Ahmad1618A @OIT_AmerCentral @Refugees @UN @UNGeneva @lemondefr @WSJ;irrelevant;neutral;low;unrelated;http://twitter.com/wallaby03723051/statuses/1173009399717253120
32;40;@Alyssa_Milano They’re hiding crime, committed against humanity by United States of America. Nearly 500,00 of our braves died in WWII to weed out Nazism, to destroy concentration camps. Yet, here we are in 2019, building concentration camp on US soil. @In;irrelevant;neutral;low;unrelated;http://twitter.com/kashmiKashmi1/statuses/1172955602827534336
33;41;"@AminaJMohammed @Refugees @RefugeesChief @antonioguterres @AAzoulay @mbachelet to address perennial great challenges and find long-lasting solutions 𝗣𝗟𝗘𝗔𝗦𝗘 focus on @UNHumanRights education, on tomorrow's leaders. Start a yearly celebration of @UN #UDHR on #HumanRightsDay at all classrooms and schools in the world https://t.co/00BnU1NkKq
";irrelevant;neutral;medium;unrelated;http://twitter.com/proudkashmiri6/statuses/1172838980003540993
34;42;"@AminaJMohammed @Refugees @RefugeesChief @KellyTClements @MahaMamo @antonioguterres @AAzoulay @mbachelet UDHR Art 15. 𝗣𝗟𝗘𝗔𝗦𝗘 focus on #HumanRights education, on tomorrow's leaders. Start a yearly celebration of @UN #UDHR on #HumanRightsDay at all classrooms, schools in the world coordinated by the @UN, @UNESCO, @UNHumanRights, @UNICEF. https://t.co/st6QZnefii
";irrelevant;neutral;medium;unrelated;http://twitter.com/muddasirashraf/statuses/1172858950561226755
35;43;"@AminaJMohammed @Refugees @RefugeesChief @KellyTClements @MahaMamo https://t.co/knDR5cP6AC
";irrelevant;neutral;low;unrelated;http://twitter.com/SAIBI2001/statuses/1180787329579048965
36;44;"@AminaJMohammed @Refugees @RefugeesChief @KellyTClements @MahaMamo https://t.co/RlXrc89kPB
";irrelevant;neutral;low;unrelated;http://twitter.com/RohingyaVision/statuses/1100978335159443458
37;45;"@AminaJMohammed @Refugees @RefugeesChief @KellyTClements @MahaMamo 👏
";irrelevant;neutral;low;unrelated;http://twitter.com/fobiajunior/statuses/1172578895297728519
38;46;"@AminaJMohammed @Refugees @RefugeesChief My proudly great hardworking achiever of my dearest country of the millennium!!!
";irrelevant;neutral;high;unrelated;http://twitter.com/CarlosMugica/statuses/1100844997740515333
39;47;"@AminaJMohammed @Refugees @RefugeesChief National governments and their surbordinates must co-operte before inclusive societies can be achieved.
";irrelevant;neutral;medium;unrelated;http://twitter.com/reza72077063/statuses/1172645432385622016
40;48;"@AminaJMohammed @Refugees @RefugeesChief Wife of Jeffwiener's ,she is 3rd part Oo? :) .
";irrelevant;neutral;low;unrelated;http://twitter.com/reza72077063/statuses/1181222225006874624
41;49;@amnesty @BBCUrdu @BBCNews @BBCTech @CNN @cnni @cnnbrk @nytimesworld @nytimes @AlJazeera @SBS @ABC @ABCNetwork @ABCPolitics @OIC_OCI @UN @RefugeesMedia @Refugees @UNHCRUSA @euronews @UNICEF @UNICEFUSA @UNICEFIndia @UNICEFmedia @UNICEF_uk @OfficialDGISPR @;irrelevant;neutral;low;unrelated;http://twitter.com/ali_shafae/statuses/1181199072364904448
42;50;@amnesty @Oxfam_DE @UNHumanRights @hrw @Refugees;irrelevant;neutral;low;unrelated;http://twitter.com/reza72077063/statuses/1181198508528812034
43;51;@amnesty @Oxfam_DE @UNHumanRights @hrw @Refugees;irrelevant;neutral;low;unrelated;http://twitter.com/mohit_thakurela/statuses/1172891725934845952
44;52;"@amy_raphael @Refugees @Ofmooseandmen - including #johnnymarr in convo with #pepguardiola for you blues folk
";irrelevant;neutral;low;unrelated;http://twitter.com/catfiankbok/statuses/1181185521894199296
45;53;@AP @TIME @ABCNews24 @wwmonitor @WSJ @guardian @Newsweek @SZ @lemondefr @washingtonpost @DerSPIEGEL @ajplus @MiddleEastEye @HDNER @BirGunDaily @bbcturkce @unwomenEU @UNWomenWatch @hrw @amnestyusa @amnesty @Refugees @UN_HRC @UNHumanRights @CommissionerHR @;irrelevant;neutral;low;unrelated;http://twitter.com/catfiankbok/statuses/1181164346493345792
46;54;"@appcsocialmedia @ShehryarAfridi1 @Refugees https://t.co/XQLQbBQw9p
";irrelevant;neutral;low;unrelated;http://twitter.com/EU_UNGeneva/statuses/1181183663872118785
47;55;@BohHerbert @Beatriceijang @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @iffat9 @Europarl_EN @CNN @USUN @NRC_Egeland @AJENews @CGVS_CGRA @mbachelet @BorisJohnson @FinlandUN @BelgiumUNGeneva @UKParliament @UN_Ca;irrelevant;neutral;low;unrelated;http://twitter.com/maree58722676/statuses/1181240801097129984
48;56;@BOLNETWORK @UNGeneva @UNHumanRights @Refugees ??? #HumanityFirst;irrelevant;neutral;low;unrelated;http://twitter.com/gentle_fr/statuses/1100851074854981640
49;57;@CarloTresero @Refugees Amen. And to @JustinTrudeau;irrelevant;neutral;low;unrelated;http://twitter.com/S_Cansizoglu/statuses/1100818397707812865
50;58;@Ce_Schmitt @AFD_France @francediplo @Le_HCR @UNHCRfrance @Refugees @RaoufMazou @UNHCRWestAfrica @Paolo_Artini Can you make the dream of Iraqi asylum seekers&refugees come true by helping them to reach the safe&stable life in the resettlement countries af;irrelevant;neutral;low;unrelated;http://twitter.com/HumanRightsHope/statuses/1172624284784766978
51;59;@cemalyldrm The devil didn't do what they did. @cemalyldrm @Melekcetinkay76 @UN_Women @Refugees @POTUS @NATO @FBI @ABC @SkyNews @BBCWorld @NBCNews @nytimes @TIME;irrelevant;neutral;low;unrelated;http://twitter.com/KaeshirM/statuses/1172686977679781888
52;60;"@CHAIandBiryani @RANIMUKERJl @Dreamer4927 @chedetofficial @IHHen @amnesty @UN @Refugees @EmineErdogan @GMB @malaysiakini @
";irrelevant;neutral;low;unrelated;http://twitter.com/WhatDTrath/statuses/1172611890784210944
53;61;@ChuckKeller14 @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @62WalterP @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @EveScottGarner @tango793_anne @KITTYBAYOUTSFAN @Ldogls;irrelevant;neutral;low;unrelated;http://twitter.com/WhatDTrath/statuses/1172700459548762112
54;62;@ChuckKeller14 @kneadinghands @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @EveScottGarner @tango793_anne @KITTYBAYOUTSFAN @Ld;irrelevant;neutral;low;unrelated;http://twitter.com/StandwithK/statuses/1172734619222855682
55;63;@ChuckKeller14 @kneadinghands @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @EveScottGarner @tango793_anne @KITTYBAYOUTSFAN @Ld;irrelevant;neutral;low;unrelated;http://twitter.com/WhatDTrath/statuses/1172778970435244032
56;64;@CIA @FBI @ipinst @USIP @StateDept @TimesofIsrael @TIME @IDF @JewishAgency @WhiteHouse @hrw @UNGeneva @UN @RedCross @CARITAS @amnesty @AmnestyNigeria @Refugees @AFP those in support of #NnamdiKanu say 'aye' and those against say 'nay' 'aye' have it #FreeB;irrelevant;neutral;low;unrelated;http://twitter.com/WhatDTrath/statuses/1172648196918497285
57;65;@cjwerleman @BBCUrdu @BBCNews @BBCTech @CNN @cnni @cnnbrk @nytimesworld @nytimes @AlJazeera @SBS @ABC @ABCNetwork @ABCPolitics @OIC_OCI @UN @RefugeesMedia @Refugees @UNHCRUSA @euronews @UNICEF @UNICEFUSA @UNICEFIndia @UNICEFmedia @UNICEF_uk @OfficialDGISP;irrelevant;neutral;low;unrelated;http://twitter.com/Nkurayija15/statuses/1172794271323344896
58;66;@cjwerleman @BylineTimes @BBCUrdu @BBCNews @BBCTech @CNN @cnni @cnnbrk @nytimesworld @nytimes @AlJazeera @SBS @ABC @ABCNetwork @ABCPolitics @OIC_OCI @UN @RefugeesMedia @Refugees @UNHCRUSA @euronews @UNICEF @UNICEFUSA @UNICEFIndia @UNICEFmedia @UNICEF_uk @;irrelevant;neutral;low;unrelated;http://twitter.com/SwedenGeneva/statuses/1181189224734904320
59;67;@cjwerleman @dwnews @BBCUrdu @BBCNews @BBCTech @CNN @cnni @cnnbrk @nytimesworld @nytimes @AlJazeera @SBS @ABC @ABCNetwork @ABCPolitics @OIC_OCI @UN @RefugeesMedia @Refugees @UNHCRUSA @euronews @UNICEF @UNICEFUSA @UNICEFIndia @UNICEFmedia @UNICEF_uk @Offic;irrelevant;neutral;low;unrelated;http://twitter.com/surajra70594349/statuses/1172772605285126144
60;68;@clearticulation @SarfarazZoe @Shamindan1 @NilsMelzer @Refugees @IntlCrimCourt Free #Bomana53;irrelevant;neutral;low;unrelated;http://twitter.com/LReedMahalo11/statuses/1181114249034158080
61;69;"@Comey @SallyQYates @RepCummings @USArmy @USArmyEurope @USNationalGuard @Refugees @usairforce @USNavy @us_navyseals @UNOCHA @UN_News_Centre @UN_PGA @HelenClarkNZ @UNODC @USMC @USCG @TomSteyer @JustinTrudeau TRUMP THE DOMESTIC TERRORIST: (THREAD 1-9) -API🌅
";irrelevant;neutral;low;unrelated;http://twitter.com/LReedMahalo11/statuses/1181114630606733312
62;70;@CommissionerHR @HRDN_EU @AmnestyOnline @social_platform @ecas_europe @Oxfam @Unrightswire @osce_odihr @Unrightswire @Refugees @Anti_Slavery @ASF_EN @AssociationECPM @FreefromTorture @ICJ_org @woman_kind @wlp1 @_Youth4HR @UTOrganization @fidh_fr @Alliance;irrelevant;neutral;low;unrelated;http://twitter.com/LReedMahalo11/statuses/1181114506056888323
63;71;"@CommissionerHR @Refugees @coe https://t.co/4yQllES0Dj Srilankan government killing fild basted on terror srilankan government no excuse srilankan army and police no excuse. Tamil tiger's good lovely tiger's might power TAMIL TIGER'S NATIONAL GOVERNMENT ME WON'T Help me other countrys please Thank you
";irrelevant;neutral;high;unrelated;http://twitter.com/LReedMahalo11/statuses/1181113900990779393
64;72;@DailyMirror Two Suspects Detained In Connection With Uzbek #Gay Murder https://t.co/e5CQ3hrHI2 @SenateDems @_SemaHernandez_ @sfchronicle @LANow @StateDRL @lgbtqnation @LGBT_news @LALGBTCenter @CNN @bbcmundo @Jerusalem_Post @secgen @Refugees @TheEconomist;irrelevant;neutral;high;unrelated;http://twitter.com/LReedMahalo11/statuses/1181114433621200896
65;73;@Davistebu @recordtvug @QuicketUG @SheratonKampala @FacesUpUganda @WhatsTrendingUG @Rotary @unwomenuganda @KeyzMediaOption @Airtel_Ug Get prepared for this unique experience in your life time. #DinnerInTheDark2019 @SheratonKampala @UNYouthEnvoy @UNPeaceke;irrelevant;neutral;low;unrelated;http://twitter.com/LReedMahalo11/statuses/1181114193459548160
66;74;"@devex @Refugees No life without problem, no problem without https://t.co/3u7horHhzb had a problem: (Financial, Love, Protection, Happiness, Glory, Healing,Urgent emotional return, Portfolio magic ... papamarabout@hotmail.fr whatsapp: +33756880197 Thank you
";irrelevant;neutral;low;unrelated;http://twitter.com/BettinaWolff_EU/statuses/1100806032073412608
67;75;@Dora31943588 @NzajeP @_AfricanUnion @EU_Commission @SCRtweets @USUN @GermanyUN @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @iffat9 @Europarl_EN @CNN @USUN @NRC_Egeland @AJENews @USAmbUN @mbachelet @BorisJohns;irrelevant;neutral;low;unrelated;http://twitter.com/JayuCanada/statuses/1100881526315716609
68;76;@FhlBeh @Ilhan @UNHCRTurkey @Refugees @UNHCRCanada @UNOCHA @UN_HRC @sgdd_asam @AmnestyNow Eff you your a nasty Racist Pig;irrelevant;negative;medium;unrelated;http://twitter.com/hanscarlos/statuses/1180783879378145280
69;77;@DukeUNCRotary @UNC @Refugees @Rotary @RtnsForPeace @unccgi @UN Voice of Trump I am an Iraqi refugee with my family and children inTurkey More than five years of lega refugee with UNHCRand I have IZ-1**804🇺🇸file In my letter to theUSForces i Iraq I told;irrelevant;neutral;medium;unrelated;http://twitter.com/sherakbaloch1/statuses/1100805766188011520
70;78;@ebneadam @cjwerleman @BylineTimes @BBCUrdu @BBCNews @BBCTech @CNN @cnni @cnnbrk @nytimesworld @nytimes @AlJazeera @SBS @ABC @ABCNetwork @ABCPolitics @OIC_OCI @UN @RefugeesMedia @Refugees @UNHCRUSA @euronews @UNICEF @UNICEFUSA @UNICEFIndia @UNICEFmedia @U;irrelevant;neutral;medium;unrelated;http://twitter.com/phylanthropist/statuses/1172579563764965378
71;79;@el_pais @SZ_Intl @hrexach @ggreenwald @euronews @EU_Commission @hirmagazin @Scientists4EU @bzberlin @HelpSnowden @JohnPiper @CoE_HRightsRLaw @M_RSection @Refugees @Mue_NZZ @JulianRoepcke @BinBerlinerIn @faznet;irrelevant;neutral;low;unrelated;http://twitter.com/BLoprete311075/statuses/1100866622884057112
72;80;@FortuneMagazine @UNGeneva @ukhomeoffice @infopresidencia @presidencia_sv @KremlinRussia_E @CIA @FBILosAngeles @USEEOC @HUDgov @CFPB @Refugees @DHSgov @IRSnews These are the people responsible for the MK Ultra Project Drugs and rap music was a social expe;irrelevant;negative;medium;unrelated;http://twitter.com/observatoryihr/statuses/1181142043508297730
73;81;@FortuneMagazine @UNGeneva @ukhomeoffice @infopresidencia @presidencia_sv @KremlinRussia_E @CIA @FBILosAngeles I need a job so I can get out of here. Please see my @USEEOC @HUDgov and @CFPB complaints I am NEVER going back to California and I will NEVER r;irrelevant;negative;medium;unrelated;http://twitter.com/one_minute___/statuses/1100807321771495427
74;82;"@elakoTR @ShelterCluster @ifrc @Refugees THX @ifrc to treat us to a great view as well https://t.co/9K89cHCUHK
";irrelevant;neutral;low;unrelated;http://twitter.com/aunluturk67/statuses/1100810800376303617
75;83;"@EliaS323272 @bflowmusic @WorldVisionZamo @Refugees I love this truck..it speaks to me
";irrelevant;neutral;low;unrelated;http://twitter.com/valbrownmc/statuses/1173061610002247681
76;84;@es_prof @AshiWords @UN @UN_HRC @UN_Women @UN_PGA @UN_CSW @Refugees @UN_Spokesperson @unhrcpr https://t.co/uU0vNSL58O;irrelevant;neutral;low;unrelated;http://twitter.com/ms_asylum_UNHCR/statuses/1100836389384568832
77;85;"@FatemaMuayyad @UN @Refugees Hi
";irrelevant;neutral;low;unrelated;http://twitter.com/aunluturk67/statuses/1100811055641456640
78;86;"@FLuktuka @legon @VodafoneGhana @NCGhanacard @JumiaGhana @airteltigoghana @mtnug @OzoneGhana @DStv_Ghana @DigitalTrends @RoiDigitalNG @BBCNews @Conservatives @PHE_uk @TheAthleticUK @UN @Refugees @_beautiful_gh @EducateaGhanian @nidcom_gov @CCCADI @blacklikewho @AfrDiasporaNews @DisapointGamers
";irrelevant;neutral;low;unrelated;http://twitter.com/EveScottGarner/statuses/1173042261841440768
79;87;"@FMHDSD @Refugees @RefugeesChief Good afternoon ma pls what is the fate of @npower_ng in your ministry, my own suggestion: since the ministry is new pls make npower permanency a reality npower should make the workforce of the ministry thanks for your understanding
";irrelevant;neutral;medium;unrelated;http://twitter.com/iwantpeace9/statuses/1181416518506049538
80;88;@fobiajunior @AIPC_HRO @UN @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @iffat9 @Europarl_EN @CNN @USUN @NRC_Egeland @AJENews @CGVS_CGRA @mbachelet @BorisJohnson @FinlandUN @BelgiumUNGeneva @UKParliament @UN_Ca;irrelevant;neutral;low;unrelated;http://twitter.com/stevendwoodruff/statuses/1181260059348619268
81;89;@frecklesfairy @Heiderosie @Refugees @ClausReisch @ApothekerDer @Peter_Schaar @JoStowasser @ThomasOccupy @DLR_next @echo_pbreyer @FridayForFuture @Weltregierung @isg_frankfurt @drpolytrauma @xrfrankfurt @Roquane @Bestenfalls @DieMaus Thank you;irrelevant;neutral;low;unrelated;http://twitter.com/rayclister/statuses/1181310484965756928
82;90;@Galela15505225 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo No lose your time with Peoples like me that stand always against Xenophobia crime of Humanity No one reason to kill Huma;irrelevant;neutral;low;unrelated;http://twitter.com/Zomrda18/statuses/1172934729810743298
83;91;@Galela15505225 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo Please when you say lie use other tweet here no space if you not know the truth read before We celebrate the joy of life;irrelevant;neutral;medium;unrelated;http://twitter.com/AneraoKailash/statuses/1181299199813586946
84;92;@Galela15505225 @Alexandra0306 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo do you even know what that word means?;irrelevant;neutral;medium;unrelated;http://twitter.com/Nathan290491/statuses/1172779629070827520
